word,level,pos,thai,definition
damaging,C1,adjective,ทำลาย,"To impair the soundness, goodness, or value of; to harm or cause destruction."
dare,B2,verb,กล้า,A challenge to prove courage.
darkness,B2,noun,ความมืด,The state of being dark; lack of light.
database,B2,noun,ฐานข้อมูล,"(general) A collection of (usually) organized information in a regular structure, usually but not necessarily in a machine-readable format accessible by a computer."
dawn,C1,noun,รุ่งอรุณ,The morning twilight period immediately before sunrise.
deadline,B2,noun,กำหนดเวลา,A time limit in the form of a date on or before which something must be completed.
deadly,B2,adjective,อันตรายถึงชีวิต,Subject to death; mortal.
dealer,B2,noun,ตัวแทนจำหน่าย,"One who deals in goods, especially automobiles; a middleman."
debris,C1,noun,เศษซาก,"Rubble, wreckage, scattered remains of something destroyed."
debut,C1,noun,เปิดตัว,"A performer's first performance to the public, in sport, the arts or some other area."
decision-making,C1,noun,การตัดสินใจ,The process of reaching a decision.
decisive,C1,adjective,เด็ดขาด,Having the power or quality of deciding a question or controversy; putting an end to contest or controversy; final; conclusive.
deck,B2,noun,ดาดฟ้า,Any raised flat surface that can be walked on: a balcony; a porch; a raised patio; a flat rooftop.
declaration,C1,noun,การประกาศ,"A written or oral indication of a fact, opinion, or belief."
dedicated,C1,adjective,อุทิศ,To set apart for a deity or for religious purposes; consecrate.
dedication,C1,noun,ความทุ่มเท,The act of dedicating or the state of being dedicated.
deed,C1,noun,โฉนด,An action or act; something that is done.
deem,C1,verb,ถือว่า,"An opinion, a judgment, a surmise."
default,C1,noun,ค่าเริ่มต้น,The condition of failing to meet an obligation.
defect,C1,noun,ข้อบกพร่อง,A fault or malfunction.
defender,B2,noun,กองหลัง,Someone who defends people or property
defensive,C1,adjective,การป้องกัน,"A means, attitude or position of defense."
deficiency,C1,noun,ความขาดแคลน,Inadequacy or incompleteness.
deficit,C1,noun,การขาดดุล,Deficiency in amount or quality; a falling short; lack.
defy,C1,verb,ท้า,A challenge.
delegate,C1,noun,ผู้แทน,A person authorized to act as representative for another; a deputy
delegation,C1,noun,คณะผู้แทน,An act of delegating.
delete,B2,verb,ลบ,A key that may be pressed to delete something (such as text or files) from a computer.
delicate,C1,adjective,ละเอียดอ่อน,needing to be treated carefully because it is easy to damage; gentle and careful; made with great skill
democracy,B2,noun,ประชาธิปไตย,"Rule by the people, especially as a form of government; either directly or through elected representatives (representative democracy)."
democratic,B2,adjective,ประชาธิปไตย,"Pertaining to democracy; favoring democracy, or constructed upon the principle of government by the people."
demon,C1,noun,ปีศาจ,An evil supernatural spirit.
demonstration,B2,noun,สาธิต,The act of demonstrating; showing or explaining something.
denial,C1,noun,การปฏิเสธ,a statement that something is not true; a refusal to allow somebody to have something
denounce,C1,verb,ประณาม,To make known in a formal manner; to proclaim; to announce; to declare.
dense,C1,adjective,หนาแน่น,A thicket.
density,C1,noun,ความหนาแน่น,A measure of the mass of matter contained by a unit volume.
depart,B2,verb,ออกเดินทาง,"Division; separation, as of compound substances."
dependence,C1,noun,การพึ่งพา,"The state of being dependent, of relying upon another."
dependent,B2,adjective,ขึ้นอยู่กับ,One who relies on another for support
depict,C1,verb,แสดงให้เห็น,"To render a representation of something, using words, sounds, images, or other means."
deploy,C1,verb,ปรับใช้,Deployment
deployment,C1,noun,การปรับใช้,An arrangement or classification of things.
deposit,B2,noun,เงินฝาก,Sediment or rock that is not native to its present location or is different from the surrounding material. Sometimes refers to ore or gems.
deposit,C1,verb,เงินฝาก,Sediment or rock that is not native to its present location or is different from the surrounding material. Sometimes refers to ore or gems.
depression,B2,noun,ภาวะซึมเศร้า,"In psychotherapy and psychiatry, a state of mind producing serious, long-term lowering of enjoyment of life or inability to visualize a happy future."
deprive,C1,verb,กีดกัน,To take something away from (someone) and keep it away; to deny someone something.
deputy,C1,noun,รอง,"One appointed as the substitute of another, and empowered to act for them, in their name or their behalf; a substitute in office"
derive,B2,verb,ได้มา,To obtain or receive (something) from something else.
descend,C1,verb,ลงมา,"To pass from a higher to a lower place; to move downwards; to come or go down in any way, for example by falling, flowing, walking, climbing etc."
descent,C1,noun,การลง,An instance of descending; act of coming down.
designate,C1,verb,กำหนด,To mark out and make known; to point out; to indicate; to show; to distinguish by marks or description
desirable,C1,adjective,พึงปรารถนา,A thing that people want; something that is desirable.
desktop,C1,noun,เดสก์ท็อป,The top surface of a desk.
desperately,B2,adverb,สิ้นหวัง,In a desperate manner; without regard to danger or safety; recklessly.
destruction,B2,noun,การทำลาย,The act of destroying.
destructive,C1,adjective,ทำลายล้าง,Causing destruction; damaging.
detain,C1,verb,กักขัง,To keep someone from proceeding by holding them back or making claims on their attention.
detection,C1,noun,การตรวจจับ,The act of detecting or sensing something; discovering something that was hidden or disguised.
detention,C1,noun,การกักขัง,The act of detaining or the state of being detained.
deteriorate,C1,verb,เสื่อมลง,To make worse; to make inferior in quality or value; to impair.
determination,B2,noun,การกำหนด,"The act of determining, or the state of being determined."
devastate,C1,verb,ทำลายล้าง,"To ruin many or all things over a large area, such as most or all buildings of a city, or cities of a region, or trees of a forest."
devil,C1,noun,ปีศาจ,An evil creature.
devise,C1,verb,ประดิษฐ์,The act of leaving real property in a will.
devote,B2,verb,อุทิศ,"To give one's time, focus one's efforts, commit oneself, etc. entirely for, on, or to a certain matter"
diagnose,C1,verb,วินิจฉัย,To determine which disease is causing a sick person's signs and symptoms; to find the diagnosis.
diagnosis,C1,noun,การวินิจฉัย,To determine which disease is causing a sick person's signs and symptoms; to find the diagnosis.
dictate,C1,verb,กำหนด,An order or command.
dictator,C1,noun,เผด็จการ,"A totalitarian leader of a country, nation, or government."
differ,B2,verb,แตกต่างกัน,Not to have the same traits or characteristics; to be unalike or distinct.
differentiate,C1,verb,แยกแยะ,Something that has been differentiated or stratified.
dignity,C1,noun,ศักดิ์ศรี,The state of being dignified or worthy of esteem: elevation of mind or character.
dilemma,C1,noun,ภาวะกลืนไม่เข้าคายไม่ออก,A circumstance in which a choice must be made between two or more alternatives that seem equally undesirable.
dimension,C1,noun,มิติ,A single aspect of a given thing.
diminish,C1,verb,ลดลง,To make smaller.
dip,C1,verb,จุ่ม,A lower section of a road or geological feature.
diplomat,C1,noun,ทูต,"A person, such as an ambassador, who is accredited to represent a government officially in its relations with other governments or international organisations"
diplomatic,C1,noun,การทูต,"The science of diplomas, or the art of deciphering ancient writings and determining their age, authenticity, etc.; paleography."
directory,C1,noun,ไดเร็กทอรี,"A list of names, addresses etc, of specific classes of people or organizations, often in alphabetical order or in some classification."
disability,B2,noun,ความพิการ,"State of being disabled; deprivation or want of ability; absence of competent physical, intellectual, or moral power, means, fitness, and the like."
disabled,B2,adjective,พิการ,"To render unable; to take away an ability of, as by crippling."
disagreement,B2,noun,ความไม่ลงรอย,An argument or debate.
disappoint,B2,verb,น่าผิดหวัง,"To sadden or displease (someone) by underperforming, or by not delivering something promised or hoped for."
disappointment,B2,noun,ความผิดหวัง,A feeling of sadness or frustration when a strongly held expectation is not met.
disastrous,C1,adjective,หายนะ,Of the nature of a disaster; calamitous.
discard,C1,verb,ทิ้ง,Anything discarded.
discharge,C1,verb,การปล่อยตัว,"Pus or exudate (other than blood) from a wound or orifice, usually due to infection or pathology."
disclose,C1,verb,เปิดเผย,A disclosure.
disclosure,C1,noun,การเปิดเผยข้อมูล,The act of revealing something.
discourage,B2,verb,กีดกัน,Lack of courage
discourse,C1,noun,วาทกรรม,"Verbal exchange, conversation."
discretion,C1,noun,ดุลยพินิจ,The quality of being discreet or circumspect.
discrimination,C1,noun,การเลือกปฏิบัติ,"Discernment, the act of discriminating, discerning, distinguishing, noting or perceiving differences between things, with intent to understand rightly and make correct decisions."
dismissal,C1,noun,การไล่ออก,The act of sending someone away.
disorder,B2,noun,ความผิดปกติ,Absence of order; state of not being arranged in an orderly manner.
displace,C1,verb,ย้าย,To put out of place; to disarrange.
disposal,C1,noun,การกำจัด,"An arrangement, categorization or classification of things."
dispose,C1,verb,กำจัด,The disposal or management of something.
dispute,C1,noun/verb,ข้อพิพาท,"An argument or disagreement, a failure to agree."
disrupt,C1,verb,ขัดขวาง,To throw into confusion or disorder.
disruption,C1,noun,การหยุดชะงัก,An interruption to the regular flow or sequence of something.
dissolve,C1,verb,ละลาย,A form of film punctuation in which there is a gradual transition from one scene to the next
distant,B2,adjective,ไกลออกไป,"Far off (physically, logically or mentally)."
distinction,C1,noun,ความแตกต่าง,"That which distinguishes; a single occurrence of a determining factor or feature, the fact of being divided; separation, discrimination."
distinctive,C1,adjective,โดดเด่น,A distinctive thing: a quality or property permitting distinguishing; a characteristic.
distinguish,B2,verb,แยกแยะ,To recognize someone or something as different from others based on its characteristics.
distort,C1,verb,บิดเบือน,"To bring something out of shape, to misshape."
distract,B2,verb,เบี่ยงเบนความสนใจ,To divert the attention of.
distress,C1,noun/verb,ความทุกข์,(Cause of) discomfort.
disturb,B2,verb,รบกวน,Disturbance
disturbing,C1,adjective,น่ารบกวน,"To confuse a quiet, constant state or a calm, continuous flow, in particular: thoughts, actions or liquids."
dive,B2,verb/noun,ดำน้ำ,A jump or plunge into water.
diverse,B2,adjective,หลากหลาย,Consisting of many different elements; various.
diversity,B2,noun,ความหลากหลาย,The quality of being diverse or different; difference or unlikeness.
divert,C1,verb,เบี่ยงเบน,To turn aside from a course.
divine,C1,adjective,ศักดิ์สิทธิ์,One skilled in divinity; a theologian.
divorce,B2,noun/verb,หย่า,The legal dissolution of a marriage.
doctrine,C1,noun,หลักคำสอน,"A belief or tenet, especially about philosophical or theological matters."
documentation,C1,noun,เอกสารประกอบ,Something transposed from a thought to a document; the written account of an idea.
domain,C1,noun,โดเมน,A geographic area owned or controlled by a single person or organization.
dominance,C1,noun,การครอบงำ,The state of being dominant; of prime importance; supremacy.
dominant,B2,adjective,ที่เด่น,"The fifth major tone of a musical scale (five major steps above the note in question); thus G is the dominant of C, A of D, and so on."
donation,B2,noun,การบริจาค,A voluntary gift or contribution for a specific cause.
donor,C1,noun,ผู้บริจาค,One who makes a donation.
dose,C1,noun,ปริมาณ,a measured amount of a medicine or drug taken at one time; a certain amount of something
dot,B2,noun,จุด,"A small, round spot."
downtown,B2,noun/adjective/adverb,ใจกลางเมือง,"The main business part of a city or town, usually located at or near its center."
drain,C1,verb,ท่อระบายน้ำ,A conduit allowing liquid to flow out of an otherwise contained volume; a plughole (UK)
dramatically,B2,adverb,อย่างมาก,In a dramatic manner.
drift,C1,verb,การเคลื่อนตัว,(physical) Movement; that which moves or is moved.
driving,C1,adjective,การขับรถ,"To provide an impetus for motion or other physical change, to move an object by means of the provision of force thereto."
drought,B2,noun,ความแห้งแล้ง,"A period of unusually low rainfall, longer and more severe than a dry spell."
drown,C1,verb,จมน้ำ,To die from suffocation while immersed in water or other fluid.
dual,C1,adjective,สองชั้น,"Of an item that is one of a pair, the other item in the pair."
dub,C1,verb,พากย์เสียง,To confer knighthood; the conclusion of the ceremony was marked by a tap on the shoulder with a sword.
dull,B2,adjective,น่าเบื่อ,To render dull; to remove or blunt an edge or something that was sharp.
dumb,C1,adjective,โง่,"Unable to speak; lacking power of speech (kept in ""deaf, dumb, and blind"")."
dump,B2,verb,ทิ้งขยะ,"A place where waste or garbage is left; a ground or place for dumping ashes, refuse, etc.; a disposal site."
duo,C1,noun,ดูโอ้,"Two people who work or collaborate together as partners; especially, those who perform music together."
duration,B2,noun,ระยะเวลา,An amount of time or a particular time interval.
dynamic,B2,adjective,พลวัต,A characteristic or manner of an interaction; a behavior.
dynamic,C1,noun,พลวัต,A characteristic or manner of an interaction; a behavior.
eager,C1,adjective,กระตือรือร้น,Sharp; sour; acid.
earnings,C1,noun,รายได้,"Wages, money earned, income."
ease,C1,noun/verb,ผ่อนปรน,"Ability, the means to do something, particularly:"
echo,C1,verb/noun,เสียงสะท้อน,A reflected sound that is heard again by its initial observer.
ecological,C1,adjective,นิเวศวิทยา,"Relating to ecology, the interrelationships of organisms and their environment."
economics,B2,noun,เศรษฐศาสตร์,"The study of resource allocation, distribution and consumption; of capital and investment; and of management of the factors of production."
economist,B2,noun,นักเศรษฐศาสตร์,"An expert in economics, especially one who studies economic data and extracts higher-level information or proposes theories."
editorial,B2,adjective,บทบรรณาธิการ,An article in a publication giving the opinion of its editors on a given topic or current event.
educator,C1,noun,นักการศึกษา,"A person distinguished for his/her educational work, a teacher."
effectiveness,C1,noun,ประสิทธิผล,"The property of being effective, of achieving results."
efficiency,C1,noun,ประสิทธิภาพ,The extent to which time is well used for the intended task.
efficiently,B2,adverb,อย่างมีประสิทธิภาพ,In an efficient manner.
ego,C1,noun,อาตมา,"The self, especially with a sense of self-importance."
elaborate,C1,adjective,ขยายความ,To develop in detail or complexity
elbow,B2,noun,ข้อศอก,The joint between the upper arm and the forearm.
electoral,C1,adjective,การเลือกตั้ง,Relating to or composed of electors.
electronics,B2,noun,อิเล็กทรอนิกส์,The study and use of electrical devices that operate by controlling the flow of electrons or other electrically charged particles or by converting the flow of charged particles to or from other forms of energy.
elegant,B2,adjective,สง่างาม,Characterised by or exhibiting elegance.
elementary,B2,adjective,ประถมศึกษา,An elementary school
elevate,C1,verb,ยกระดับ,To raise (something) to a higher position.
eligible,C1,adjective,มีสิทธิ์,One who is eligible.
eliminate,B2,verb,กำจัด,"To completely remove, get rid of, put an end to."
elite,C1,noun,ผู้ลากมากดี,"A special group or social class of people which have a superior intellectual, social or economic status as, the elite of society."
embark,C1,verb,เริ่มต้น,To get on a boat or ship or (outside the USA) an aeroplane.
embarrassment,C1,noun,ความอับอาย,A state of discomfort arising from bashfulness or consciousness of having violated a social rule; humiliation.
embassy,C1,noun,สถานทูต,The function or duty of an ambassador.
embed,C1,verb,ฝัง,"An embedded reporter or journalist, such as a war reporter assigned to and travelling with a military unit, or a political reporter assigned to follow and report on the campaign of a candidate."
embody,C1,verb,รวบรวม,To represent in a physical or concrete form; to incarnate or personify.
embrace,B2,verb,โอบกอด,An act of putting arms around someone and bringing the person close to the chest; a hug.
emergence,C1,noun,การเกิดขึ้น,"The act of rising out of a fluid, or coming forth from envelopment or concealment, or of rising into view; sudden uprising or appearance."
emission,B2,noun,การปล่อยมลพิษ,Something which is emitted or sent out; issue.
emotionally,B2,adverb,อารมณ์,In an emotional manner; displaying emotion.
empire,B2,noun,จักรวรรดิ,(furniture) Following or imitating a style popular during the First French Empire (1804–1814).
empirical,C1,adjective,เชิงประจักษ์,Pertaining to or based on experience.
empower,C1,verb,เสริมพลัง,"To give permission, power, or the legal right to do something."
enact,C1,verb,บังคับใช้,Purpose; determination
encompass,C1,verb,ห้อมล้อม,To form a circle around; to encircle.
encouragement,C1,noun,กำลังใจ,The act of encouraging
encouraging,C1,adjective,ให้กำลังใจ,"To mentally support; to motivate, give courage, hope or spirit."
endeavour,C1,noun,ความพยายาม,A sincere attempt; a determined or assiduous effort towards a specific goal; assiduous or persistent activity.
endless,C1,adjective,ไม่มีที่สิ้นสุด,Having no end.
endorse,C1,verb,รับรอง,"A diminutive of the pale, usually appearing in pairs on either side of a pale."
endorsement,C1,noun,การรับรอง,The act or quality of endorsing
endure,C1,verb,อดทน,"To continue or carry on, despite obstacles or hardships; to persist."
enforce,C1,verb,บังคับใช้,"To keep up, impose or bring into effect something, not necessarily by force."
enforcement,C1,noun,การบังคับใช้,The act of enforcing; compulsion.
engagement,C1,noun,การว่าจ้าง,"An appointment, especially to speak or perform."
engaging,C1,adjective,น่าสนใจ,(heading) To interact socially.
enjoyable,B2,adjective,น่าเพลิดเพลิน,"Pleasant, capable of giving pleasure."
enquire,C1,verb,สอบถาม,To make an enquiry.
enrich,C1,verb,เสริมสร้าง,To enhance.
enrol,C1,verb,ลงทะเบียน,"To enter (a name, etc.) in a register, roll or list"
ensue,C1,verb,ตามมา,"To follow (a leader, inclination etc.)."
enterprise,C1,noun,องค์กร,"A company, business, organization, or other purposeful endeavor."
entertaining,B2,adjective,ความบันเทิง,To amuse (someone); to engage the attention of agreeably.
enthusiast,C1,noun,ผู้ชื่นชอบ,A person filled with or guided by enthusiasm.
entitle,C1,verb,มีสิทธิ์,To give a title to.
entity,C1,noun,เอนทิตี้,That which has a distinct existence as an individual unit. Often used for organisations which have no physical form.
entrepreneur,B2,noun,ผู้ประกอบการ,A person who organizes and operates a business venture and assumes much of the associated risk.
envelope,B2,noun,ซองจดหมาย,"A paper or cardboard wrapper used to enclose small, flat items, especially letters, for mailing."
epidemic,C1,noun,การระบาด,A widespread disease that affects many individuals in a population.
equality,C1,noun,ความเท่าเทียมกัน,The fact of being equal.
equation,C1,noun,สมการ,"The act or process of equating two or more things, or the state of those things being equal (that is, identical)."
equip,B2,verb,อุปกรณ์,"To supply with something necessary in order to carry out a specific action or task; to provide with (e.g. weapons, provisions, munitions, rigging)"
equivalent,B2,noun/adjective,เทียบเท่า,"Anything that is virtually equal to something else, or has the same value, force, etc."
era,B2,noun,ยุค,"A time period of indeterminate length, generally more than one year."
erect,C1,verb,ตั้งตรง,Upright; vertical or reaching broadly upwards.
erupt,B2,verb,ปะทุ,"To eject something violently (such as lava or water, as from a volcano or geyser)."
escalate,C1,verb,เพิ่มระดับ,To increase (something) in extent or intensity; to intensify or step up.
essence,C1,noun,สาระสำคัญ,The inherent nature of a thing or idea.
essentially,B2,adverb,โดยพื้นฐานแล้ว,In an essential manner; in essence
establishment,C1,noun,การจัดตั้ง,The act of establishing; a ratifying or ordaining; settlement; confirmation.
eternal,C1,adjective,นิรันดร์,One who lives forever; an immortal.
ethic,B2,noun,จริยธรรม,"A set of principles of right and wrong behaviour guiding, or representative of, a specific culture, society, group, or individual."
ethnic,B2,adjective,ชาติพันธุ์,"An ethnic person, especially a foreigner or member of an immigrant community."
evacuate,C1,verb,อพยพ,To leave or withdraw from; to quit; to retire from
evaluation,B2,noun,การประเมิน,"An assessment, such as an annual personnel performance review used as the basis for a salary increase or bonus, or a summary of a particular situation."
evident,B2,adjective,ชัดเจน,Obviously true by simple observation.
evoke,C1,verb,กระตุ้น,To call out; to draw out or bring forth.
evolution,B2,noun,วิวัฒนาการ,A change of position.
evolutionary,C1,adjective,วิวัฒนาการ,Of or relating to the biological theory of evolution.
evolve,B2,verb,วิวัฒนาการ,To move in regular procession through a system.
exaggerate,C1,verb,เกินจริง,"To overstate, to describe more than is fact."
exceed,B2,verb,เกิน,"To be larger, greater than (something)."
excellence,C1,noun,ความเป็นเลิศ,The quality of being excellent; brilliance
exception,B2,noun,ข้อยกเว้น,"The act of excepting or excluding; exclusion; restriction by taking out something which would otherwise be included, as in a class, statement, rule."
exceptional,C1,adjective,พิเศษ,"An exception, or something having an exceptional value"
excess,C1,noun/adjective,ส่วนเกิน,"The state of surpassing or going beyond limits; the being of a measure beyond sufficiency, necessity, or duty; that which exceeds what is usual or proper"
excessive,B2,adjective,มากเกินไป,Exceeding the usual bounds of something; extravagant; immoderate.
exclude,B2,verb,ยกเว้น,To bar (someone) from entering; to keep out.
exclusion,C1,noun,การยกเว้น,The act of excluding or shutting out; removal from consideration or taking part.
exclusive,C1,adjective,พิเศษ,Information (or an artefact) that is granted or obtained exclusively.
exclusively,C1,adverb,โดยเฉพาะ,(focus) to the exclusion of anything or anyone else; solely or entirely
execute,C1,verb,ดำเนินการ,To kill as punishment for capital crimes.
execution,C1,noun,การประหารชีวิต,"The act, manner or style of executing (actions, maneuvers, performances)."
exert,C1,verb,ออกแรง,To put in vigorous action.
exhibit,B2,verb/noun,นิทรรศการ,An instance of exhibiting.
exile,C1,noun,ผู้ถูกเนรเทศ,The state of being banished from one's home or country.
exit,B2,noun,ทางออก,"An act of going out or going away, or leaving; a departure."
exit,C1,verb,ทางออก,"An act of going out or going away, or leaving; a departure."
exotic,B2,adjective,แปลกใหม่,An organism that is exotic to an environment.
expansion,B2,noun,การขยายตัว,The act or process of expanding.
expenditure,C1,noun,ค่าใช้จ่าย,Act of expending or paying out.
experimental,C1,adjective,การทดลอง,The subject of an experiment.
expertise,B2,noun,ความเชี่ยวชาญ,Great skill or knowledge in a particular field or hobby.
expire,C1,verb,หมดอายุ,To die.
explicit,C1,adjective,ชัดเจน,"Very specific, clear, or detailed."
explicitly,C1,adverb,อย่างชัดเจน,In an explicit manner.
exploit,B2,verb,การแสวงหาประโยชน์,A heroic or extraordinary deed.
exploitation,C1,noun,การแสวงหาประโยชน์,The act of utilizing something; industry.
explosive,C1,adjective/noun,ระเบิด,Any explosive substance.
exposure,B2,noun,การรับสัมผัสเชื้อ,"The condition of being exposed, uncovered, or unprotected."
extension,B2,noun,ส่วนขยาย,The act of extending; a stretching out; enlargement in length or breadth; an increase
extensive,B2,adjective,กว้างขวาง,Having a great extent; covering a large area; vast
extensively,B2,adverb,อย่างกว้างขวาง,"In an extensive manner, widely."
extract,B2,noun,สารสกัด,Something that is extracted or drawn out.
extract,C1,verb,สารสกัด,Something that is extracted or drawn out.
extremist,C1,noun,กลุ่มหัวรุนแรง,"A person who holds extreme views, especially one who advocates such views; a radical or fanatic."
fabric,B2,noun,ผ้า,An edifice or building.
fabulous,B2,adjective,เลิศ,"Of or relating to fable, myth or legend."
facilitate,C1,verb,อำนวยความสะดวก,To make easy or easier.
faction,C1,noun,ฝ่าย,"A group of people, especially within a political organization, which expresses a shared belief or opinion different from people who are not part of the group."
faculty,C1,noun,คณะ,"The academic staff at schools, colleges, universities or not-for-profit research institutes, as opposed to the students or support staff."
fade,C1,verb,จางหายไป,"A golf shot that (for the right-handed player) curves intentionally to the right. See slice, hook, draw."
failed,B2,adjective,ล้มเหลว,To be unsuccessful.
fairness,C1,noun,ความยุติธรรม,The property of being fair or equitable.
fake,B2,adjective,ปลอม,"Something which is not genuine, or is presented fraudulently."
fame,B2,noun,ชื่อเสียง,"What is said or reported; gossip, rumour."
fantasy,B2,noun,แฟนตาซี,That which comes from one's imagination.
fare,B2,noun,ค่าโดยสาร,A going; journey; travel; voyage; course; passage.
fatal,C1,adjective,ร้ายแรง,A fatality; an event that leads to death.
fate,C1,noun,โชคชะตา,"The presumed cause, force, principle, or divine will that predetermines events."
favourable,C1,adjective,เอื้ออำนวย,"Pleasing, encouraging or approving."
feat,C1,noun,ชนะ,A relatively rare or difficult accomplishment.
federal,B2,adjective,รัฐบาลกลาง,A law-enforcement official of the FBI; a federal agent.
feminist,C1,adjective/noun,เฟมินิสต์,An advocate of feminism; a person who believes in bringing about the equality of the sexes (of women and men) in all aspects of public and private life
fever,B2,noun,ไข้,"A higher than normal body temperature of a person (or, generally, a mammal), usually caused by disease."
fibre,C1,noun,เส้นใย,"A single piece of a given material, elongated and roughly round in cross-section, often twisted with other fibres to form thread."
fierce,C1,adjective,ดุร้าย,"Exceedingly violent, severe, ferocious, cruel or savage."
film-maker,C1,noun,ผู้สร้างภาพยนตร์,A producer or director of films/movies.
filter,C1,noun/verb,กรอง,"A device which separates a suspended, dissolved, or particulate matter from a fluid, solution, or other substance; any device that separates one substance from another."
fine,C1,noun/verb,ดี,Fine champagne; French brandy.
firearm,C1,noun,อาวุธปืน,A personal weapon that uses explosive powder to propel a projectile often made of lead.
firefighter,B2,noun,นักดับเพลิง,A person who puts out fires.
firework,B2,noun,ดอกไม้เพลิง,"A device using gunpowder and other chemicals which, when lit, emits a combination of coloured flames, sparks, whistles or bangs, and sometimes made to rocket high into the sky before exploding, used for entertainment or celebration."
firm,B2,adjective,บริษัท,A business partnership; the name under which it trades.
firmly,B2,adverb,อย่างมั่นคง,(manner) In a firm or definite or strong manner.
fit,C1,noun,พอดี,The degree to which something fits.
fixture,C1,noun,อุปกรณ์ติดตั้ง,"Something that is fixed in place, especially a permanent appliance or other item of personal property that is considered part of a house and is sold with it; compare fitting, furnishing."
flavour,B2,noun,รสชาติ,"The quality produced by the sensation of taste or, especially, of taste and smell in combined effect."
flaw,C1,noun,ข้อบกพร่อง,"A flake, fragment, or shiver."
flawed,C1,adjective,บกพร่อง,Having a flaw or imperfection.
flee,C1,verb,หนี,To run away; to escape.
fleet,C1,noun,กองเรือ,A group of vessels or vehicles.
flesh,C1,noun,เนื้อ,"The soft tissue of the body, especially muscle and fat."
flexibility,C1,noun,ความยืดหยุ่น,The quality of being flexible; suppleness; pliability.
flourish,C1,verb,เจริญรุ่งเรือง,A dramatic gesture such as the waving of a flag.
fluid,C1,noun,ของเหลว,"Any substance which can flow with relative ease, tends to assume the shape of its container, and obeys Bernoulli's principle; a liquid, gas or plasma."
fond,B2,adjective,รัก,"To have a foolish affection for, to be fond of."
fool,B2,noun,คนโง่,A person with poor judgment or little intelligence.
footage,C1,noun,ฟุตเทจ,An amount of film or tape that has been used to record something.
forbid,B2,verb,ห้าม,To disallow; to proscribe.
forecast,B2,noun/verb,พยากรณ์,An estimation of a future condition.
foreigner,C1,noun,ชาวต่างชาติ,A person from a foreign country.
forge,C1,verb,ปลอม,Furnace or hearth where metals are heated prior to hammering them into shape.
format,B2,noun,รูปแบบ,The layout of a publication or document.
formation,B2,noun,การก่อตัว,Something possessing structure or form.
formerly,B2,adverb,ก่อนหน้านี้,At some time in the past
formula,C1,noun,สูตร,Any mathematical rule expressed symbolically.
formulate,C1,verb,กำหนด,"To reduce to, or express in, a formula; to put in a clear and definite form of statement or expression."
forth,C1,adverb,ไปข้างหน้า,"Forward in time, place or degree."
forthcoming,C1,adjective,เตรียมพร้อม,An act of coming forth.
fortunate,B2,adjective,โชคดี,Auspicious.
forum,B2,noun,ฟอรัม,A place for discussion.
fossil,B2,noun,ฟอสซิล,The mineralized remains of an animal or plant.
foster,C1,verb,อุปถัมภ์,A foster parent.
foundation,B2,noun,พื้นฐาน,the principle or idea that something is based on; an organization that provides money for charity or research; the act of founding an institution
founder,B2,noun,ผู้ก่อตั้ง,"One who founds or establishes (especially said of a company, project, organisation, state)"
fraction,B2,noun,เศษส่วน,"A part of a whole, especially a comparatively small part."
fragile,C1,adjective,บอบบาง,"Easily broken or destroyed, and thus often of subtle or intricate structure."
fragment,B2,noun,เศษ,"A part broken off; a small, detached portion; an imperfect part, either physically or not"
framework,B2,noun,กรอบ,A support structure comprising joined parts or conglomerated particles and intervening open spaces of similar or larger size.
franchise,C1,noun,แฟรนไชส์,"The right to vote at a public election or referendum; see: suffrage, suffragette."
frankly,C1,adverb,พูดตรงๆ,"(manner) In a frank, open or (too) honest manner."
fraud,B2,noun,การฉ้อโกง,the crime of cheating somebody in order to get money or goods illegally; a person who deceives others
freely,B2,adverb,อิสระ,Free; frank.
frequent,B2,adjective,บ่อย,Done or occurring often; common.
frustrated,C1,adjective,คับข้องใจ,To disappoint or defeat; to vex by depriving of something expected or desired.
frustrating,C1,adjective,น่าหงุดหงิด,To disappoint or defeat; to vex by depriving of something expected or desired.
frustration,C1,noun,แห้ว,The feeling of annoyance when one's actions are criticized or hindered
fulfil,B2,verb,สำเร็จ,"To satisfy, carry out, bring to completion (an obligation, a requirement, etc.)."
full-time,B2,adjective/adverb,เต็มเวลา,"Involving a full amount of time spent on some activity, especially a job."
functional,C1,adjective,ใช้งานได้,"A function that takes a function as its argument; More precisely: A function y=f(x) whose argument x varies in a space of (real valued, complex valued) functions and whose value belongs to a monodimensional space. An example: the definite integration of integrable real functions in a real interval."
fundamentally,B2,adverb,โดยพื้นฐานแล้ว,In a fundamental or basic sense; reaching the very core of the matter.
fundraising,C1,noun,การระดมทุน,The process of collecting money by requesting donations from individuals and businesses.
funeral,C1,noun,งานศพ,A ceremony to honour and remember a deceased person. Often distinguished from a memorial service by the presence of the body of the deceased.
furious,B2,adjective,กราดเกรี้ยว,Feeling great anger; raging; violent.
gallon,C1,noun,แกลลอน,"A unit of volume, equivalent to eight pints"
gambling,C1,noun,การพนัน,"To take a risk, with the potential of a positive outcome."
gaming,B2,noun,เกมมิ่ง,To gamble.
gathering,C1,noun,การรวมตัว,A meeting or get-together; a party or social function.
gay,B2,adjective,เกย์,"(chiefly in plural or attributive) A homosexual, especially a male homosexual; see also lesbian."
